0=正確|Correct
110=管理指令字段錯誤|Invalid Admin-order Field
111=信用限額不足|Insufficient Credit
112=信用限額已經初始化過|Credit-limit Has Already Inited
113=信用限額尚未初始化過|Credit-limit Has Not Inited
114=最優價單不能排隊|Best-price Order Can Not Queue
115=指定合約數量不足|Insufficient Instrument Specified
116=重復的合約|Duplicate Instrument
117=合約需在同壹結算組|Instrument Should in Same Settlementgroup
118=組合只能用於簡單合約|Combination Should Be Used On Single Instrument
119=重復的組合報單|Duplicate Comborder
120=過多的止損報單|Too Many Stop-order
121=沒有報價權限|No Quoting Right
122=詢價字段錯誤|Invalid Reforquote Field
123=詢價客戶字段不能為空|ReqForQuote Client can not be null
124=詢價會員字段不能為空|ReqForQuote PartID can not be null
125=價格超出保護帶|Price is out of Upper pricebound
126=價格低於保護帶|Price is out of Lower pricebound
127=市價單需在連續交易階段|Marketorder only applies to Continous trading
128=任意價單有效期類型不正確|Timecondition of Anyprice order is incorrect
129=最優價單有效期類型不正確|Timecondition of Bestprice order is incorrect
130=五檔價單有效期類型不正確|Timecondition of Fivelevelprice order is incorrcet
131=組合持倉數量不足|Not enough Comb volume
132=組合單腿持倉數量不足|Not enough Leg volume
133=不支持的組合動作方向|Do not support Combdirection
134=沒有組合權限|No Comb right
135=組合規則不存在|No Comb leg
136=組合單腿保證金收取方式不同|Combleg Margintype is different
137=組合合約保證金率找不到|Comb inst marginrate not found
8001=報單字段檢查USERID錯誤|Order field checks error of UserID
8002=報單字段檢查DIRECTION錯誤|Order field checks error of Direction
8003=報單字段檢查EXCHANGEID錯誤|Order field checks error of ExchangeID
8004=報單字段檢查HEDGEFLAG錯誤|Order field checks error of Hedgeflag
8005=報單字段檢查INSTRUMENTID錯誤|Order field checks error of InstrumentID
8006=報單字段檢查LIMITPRICE錯誤|Order field checks error of Limitprice
8007=報單字段檢查VOLUME錯誤|Order field checks error of Volume
8008=報單字段檢查OFFSETFLAG錯誤|Order field checks error of Offsetflag
8009=報單字段檢查USERORDERLOCALID錯誤|Order field checks error of UserorderlocalID
8010=報單字段檢查ORDERPRICETYPE錯誤|Order field checks error of Orderpricetype
8011=報單字段檢查STOPPRICE錯誤|Order field checks error of Stopprice
8012=報單字段檢查BROKERID錯誤|Order field checks error of BrokerID
8013=報單字段檢查INVESTORID錯誤|Order field checks error of InvestorID
8014=報單字段檢查TIMECONDITION錯誤|Order field checks error of Timecondition
8015=報單字段檢查GTDDATE錯誤|Order field checks error of GTDdate
8016=報單字段檢查VOLUMECONDITION錯誤|Order field checks error of Volumecondition
8017=報單字段檢查MINVOLUME錯誤|Order field checks error of Minvolume
8018=報單字段檢查FORCECLOSEREASON錯誤|Order field checks error of Forceclosereason
8019=報單字段檢查ISAUTOSUSPEND錯誤|Order field checks error of Isautosuspend
8020=報單字段檢查BUSINESSUNIT錯誤|Order field checks error of Businessunit
8021=報單字段檢查USERCUSTOM錯誤|Order field checks error of Usercustom
8022=報單操作字段檢查ORDERSYSID錯誤|Order field checks error of OrdersysID
8023=報單操作字段檢查ACTIONFLAG錯誤，只支持DELETE|Order field checks error of Actionflag
8024=成交單字段錯誤|Trade field error
8025=賬戶實時資金表單字段錯誤|Investoraccount field error
8026=持倉表單字段錯誤|Clientpostion field error
8027=本會員無可用席位登陸到該交易所|No available exchange seat
8028=報單筆數超過合規設置|Order exceeds complicancesetting
8029=報單手數超過合規設置|Order volume exceeds compliancesetting
8030=撤單筆數超過合規設置|Orderaction exceeds compliancesetting
8031=撤單手數超過合規設置|Orderaction volume exceeds compliancesetting
8032=錯單筆數超過合規設置|Orderfailed exceeds compliancesetting
8033=客戶單腿持倉表單字段錯誤|Client single leg position table has bad field
8034=客戶組合持倉表單字段錯誤|Client comb positon table has bad field
8100=查詢賬戶實時資金表，InvestorID不能為空|"Query Investoraccount, InvestorID can not be null"
8101=查詢可用投資者，UserID不能為空|"Query Userinvestor, UserID can not be null"
8102=不能撤銷他人報單|Can not withdraw Otherinvestor order
8103=用戶無權限撤銷該投資者報單|User has no right to withdraw this order
8104=Brokerid不能為空|BrokerID can not be blank
8105=Userid不能為空|UserID can not be blank
8106=User表中找不到BrokerID與UserID對應的用戶|Can not find UserID related to BrokerID
8107=新口令不能為空|Newpasswd can not be null
8108=新口令不能少於8個字符|Newpasswd can not be shorter than 8 letters
8109=新口令不能多於15個字符|Newpasswd can not be longer than 15 letters
8110=新口令不能包含空格|Newpasswd can not contain space
8111=登出的BrokerID與登陸時的不壹致|LoginID and LogoutID are different
8112=報單時BrokerID字段不能為空|BrokerID when ordering can not be null
8113=查詢合規參數，BrokerID不能為空|"Query ComplianceParam, BrokerID can not be null"
8114=查詢合規參數，UserID不能為空|"Query ComplianceParam, UserID can not be null"
8115=查詢合規參數，InvestorID不能為空|"Query ComplianceParam, InvestorID can not be null"
8116=查詢合規參數，BrokerID、UserID、InvestorID參數組合不對|"Query ComplianceParam, Invalid combination of BrokerID, UserID and InvestorID"
8117=查詢持倉，ExchangeID不能為空|"Query InvestorPosition, ExchangeID can not be null"
8118=查詢持倉，InvestorID不能為空|"Query InvestorPosition, InvestorID can not be null"
8119=查詢持倉，InstrumentID不能為空|"Query InvestorPosition, InstrumentID can not be null"
8120="查詢交易所客戶編碼表，ExchangeID,InvestorID組合沒有ClientID"|"Query ClienttradingID, no ClientID in the combination of ExchangeID and InvestorID"
8121=當前報盤席位不可用|Current seat is not available
8122=查詢時，BrokerID、UserID、InvestorID參數對應關系不對|"Relationship of BrokerID, UserID and InvestorID is not corrent when querying"
8123=用戶會話表單字段錯誤|Invalid Usersession field
8124=查詢時，ClientID為空時，InvestorID不能為空|InvestorID can not be null if ClientID is null when querying
8125=ClientID非法，用戶只能查詢自己相關的ClientID|"Invalid ClientID, user can query only correlated ClientID"
8126=撤單本地報單編號系統編號均為空|OrderactionlocalID and SysID are both blank
8127=合約表單字段錯誤|Invalid Instrument field
8128=交易所表單字段錯誤|Invalid Exchange field
8129=交易編碼不存在|TradingID do not exist
8130=在途訂單丟失|Order is lost on the way
8131=報單投機套保標誌無效|Invalid order Hedgeflag
8132=經紀公司代碼BrokerID不匹配|BrokerID does not match
8133=撤單投資者號不能為空|Orderaction InvestorID can not be null
8134=交易所號不能為空|ExchangeID can not be blank
8135=在該交易所會員與客戶編碼之間無關聯關系|No relationship between exchange member and client
8136=找不到客戶費率信息|Can not find client margin fee data
8137="USERID,INVESRTORID不能同時為空"|UserID and InvestorID can not be blank simultaneously
8138=資金賬號費率模板表單字段錯誤|Invalid CustFeeMarginTemplate field
8139=手續費率模板表單字段錯誤|Invalid FeeTemplate field
8140=保證金率模板表單字段錯誤|Invalid MarginTemplate field
8200=用戶設定的本地報價編號字段錯誤|Invalid UserquotelocalID field
8201=買方買入數量字段錯誤|Invalid Bidvolume field
8202=買方開平標誌字段錯誤|Invalid Bidoffsetflag field
8203=買方投機套保標誌字段錯誤|Invalid Bidhedgeflag
8204=買方買入價格字段錯誤|Invalid Bidprice field
8205=賣方賣出數量字段錯誤|Invalid Askvolume field
8206=賣方開平標誌字段錯誤|Invalid Askoffsetflag field
8207=賣方投機套保標誌字段錯誤|Invalid Askhedgeflag field
8208=賣方賣出價格字段錯誤|Invalid Askprice field
8209=拆分出來的買方用戶本地報單編號字段錯誤|Invalid BiduserorderlocalID field
8210=拆分出來的賣方用戶本地報單編號字段錯誤|Invalid AskuserorderlocalID field
8211=報價系統編號字段錯誤|Invalid QuotesysID field
8212=本地撤消報價編號字段錯誤|Invalid QuoteactionlocalID field
8213=撤消報價操作字段檢查ACTIONFLAG錯誤|Invalid Quoteactionflag field
8214=報價單的用戶本地報單編號次序錯誤|Invalid QuotelocalIDnotinorder
8215=報價操作字段檢查ACTIONFLAG錯誤，只支持DELETE|"Invalid Quoteactionflag field, only supports delete"
8216=不能撤銷他人的報價單|Can not withdraw otherinvestorquote
8217=報價系統編號找不到|Can not find QuotesystemID
8218=InvestorID 不能為空|InvestorID can not be blank
8219=InstrumentID 不能為空|InstrumentID can not be blank
8220=ExchangeID 不能為空|ExchangeID can not be blank
8221=ClientID 不能為空|ClientID can not be blank
8222=系統報價編號和本地報價編號不能同時為空|QuoteactionlocalID and SysID can not be blank simultaneously
8223=在Quote未經交易系統確認時， 不允許撤單腿Order|Can not withdraw order of unconfirmedquote
8224=找不到客戶費率模板|Can not find client margin fee template
8230=金額字段錯誤|Invalid Amount field
8231=出入金方向字段錯誤|Invalid AmountDirection field
8232=投資者資金賬戶不存在|Investor Account not exist
8233=今天轉賬次數已經超過限制|Number of transfer times exceed limit
8234=今天轉賬總額已經超過限制|Total transfered money exceed limit
8235=本次轉賬金額超過限制|Transfering money amount exceed limit
8236=資金賬戶找不到|Cannot found investor's accountid
8237=客戶持倉不足|Client has no enough positions
8238=組合操作請求編號字段錯誤|Bad Combination request localid field
8239=組合操作用戶本地編號錯誤|Bad user combination request field
8240=組合操作合約字段錯誤|Bad Combination request instrumentid field
8241=組合操作量字段錯誤|Bad Combination request volume field
8242=組合操作方向字段錯誤|Bad Combination request direction field
8243=不支持策略組合保證金|Not support combMargin strategy
8244=組合操作字段錯誤|Bad combination request field
8300=監管規則找不到|Cannot found audit rule
8301=申報價格幅度太大|Price amplitude is too large!
8321=合約當前狀態不可報單|Cannot Trading when the insturment is not active!
8322=超過報單（含撤單）申報次數|exceed the max input times !
8323=超過單位時間內委托（含撤單）次數|exceed the max input times per unit!
8324=超過單次平倉手數|exCeed the max open volume!
8325=超過單次開倉手數|exCeed the max close volume!
8326=超過單位時間單次平倉手數|exceed the max close volume per unit!
8327=超過單位時間開倉手數|exCeed the max open volume per unit!
8328=超過漲跌停板價格申報的次數|exCeed the max input times in limit price !
8329=超過漲跌停板價格撤銷申報的次數|exCeed the max ordercancel times in limit price!
8330=超過自成交次數|exCeed the max selftraded times!
8331=超過日內撤單次數|exCeed the daily max ordercancel times!
8332=超過日內開倉限制|exCeed the daily max open position limit!
8333=銀行代碼字段錯誤|Invalid Bankid field
8334=入金銀行密碼字段錯誤|Invalid BankPasswd field
8335=出金主席密碼字段錯誤|Invalid AccountPasswd field
8380=找不到報單處理器|Can not find Order Handler!
8381=找不到成交處理器|Can not find Trade Handler!
8382=找不到撤單處理器|Can not find Action Handler!
8383=找不到組保處理器|Can not find MarginComb Action Handler!
8390=投套保標識與套利類型不匹配|hedgefalg and arbitype mismatch
8391=套利類型不匹配|order arbitype mismatch
8392=該交易所不支持該報單|Not support order
8400=請求確認經紀公司編號為空|Settlementinfo confirm brokerid is null!
8401=請求確認投資者編號為空|Settlementinfo confirm investorid is null!
8402=請求確認信息格式有誤|Request settlementinfo confirm form error!
8403=請求確認的投資者不存在|Cannot find settlementinfo confirm investor!
8404=客戶未確認結算單|settlement has not been confirmed!
8405=錯誤次數超過最大限制|exceed max count failing to login!
8406=因輸入密碼錯誤超過最大限制而凍結|inhibit to login due to fail too much!
8407=IP地址禁止登錄|inhibit to login due to ip adress!
8408=本中心不允許該客戶交易|inhibit to login on this center!
8409=過濾重復|ignore the duplicated message!
8420=銀期轉帳帳號出錯|The account for bankfuture trans is invalid!
8421=超出金轉帳總額度|Money is out of range!
8422=超出金轉帳總次數|Times is out of range!
8423=高於單筆最大轉帳額度|More than maximum transfer limit per time!
8424=低於單筆最小轉帳額度|Less than minimum transfer limit per time!
8425=銀期入金請求超時，轉入自動沖正|Timeout for money form bank to future，switch to auto reversal!
8426=銀期出金請求超時，轉入自動沖正|Timeout for money form future to bank，switch to auto reversal!
8427=銀期凍結出金資金請求超時|Timeout for frozen money form future to bank!
8428=找不到相關聯的投資者賬戶|Can not find Related Account!
8429=找不到批量投資者轉帳限額信息|Can not find translimit information!
8430=找不到某投資者具體當天轉帳限額信息|Can not find current translimit information!
8431="銀期出入金超時,並且銀期沖正請求超時,請聯系櫃臺"|Timeout for money reversal!
8432=沒有對應關聯銀行帳號|no register bank account!
8433=沒有對應銀期轉賬流水|no transfer record!
8434=銀期系統操作數據庫失敗|operater DB failed!
8435=銀期沖正參數和數據庫記錄不匹配|the param is not correct!
8436=銀期待沖正流水記錄在數據中顯示為轉賬不成功|the transfer record is not successfull!
8437=銀行簽到超時|Timeout for sign in to bank!
8438=銀行簽退超時|Timeout for sign out to bank!
8439=總線發送失敗|Dxp Send Failed!
8440=期貨發起入金未收到銀期握手應答|Money In by future Not Received handshake!
8441=期貨發起出金未收到銀期握手應答|Money Out by future Not Received handshake!
8442=期貨發起銀行資金查詢未收到銀期握手應答|Query Balance by future Not Received handshake!
8443=期貨發起期貨流水查詢未收到銀期握手應答|Query Transfer Serial In by future Not Received handshake!
8444=期貨發起關聯賬戶查詢未收到銀期握手應答|Query Register Account by future Not Received handshake!
8445=銀行編碼BankID不匹配|BankID does not match
8446=入金預轉賬超時|Pre transfer bank to future timeout
8447=出金預轉賬超時|Pre transfer future to bank timeout
8448=預轉賬成功|Pre transfer success
8449=出金查詢期貨余額請求超時|Timeout for qry future avaiable!
8452=該筆出金觸及飛馬保底資金閥值|Min fund is touched!
8453=銀行未簽到|Bank is not sign up!
8454=加銀期出入金表失敗|add client in out table failed!
8455=銀期轉賬銀行賬號錯誤|The bank account for bankfuture trans is invalid!
8456=銀期轉賬資金賬號錯誤|The future account for bankfuture trans is invalid!
8457=無投資者信息|no investor information!
8458=沒有找到銀行發起方參數配置|no bank param for function source!
8459=銀行不支持該業務|not support by the direction!
8460=查詢不到簽約狀態|no sign status!
8461=銀行回應超時|Timeout for bank rsp!
8462=資金密碼錯誤|Invalid Account Password
8463=沒有找到資金密碼檢查參數配置|no bank param for check account pwd!
8464=沒有找到客戶類型檢查參數配置|no bank param for check cust type!
8465=沒有找到證件類型及號碼檢查參數配置|no bank param for check cert id and type!
8466=證件類型錯誤|Invalid Cert Type
8467=證件號碼錯誤|Invalid Cert ID
8468=客戶類型錯誤|Invalid Cust Type
8469=投資者號和資金賬戶不匹配|Investorid not matched account
8470=查不到前壹交易日期|no pre trading day
8471=查不到當前交易日期|no current trading day
8472=查不到賬戶狀態|no account status set
8473=該賬戶沒有轉賬權限|no transfer righs
8474=該賬戶不能入金|not allow money in
8475=該賬戶不能出金|not allow money out
8476=沖正成功|success for reversal
8477=沒有沖正記錄|no reversal record
8478=已做出入金|allready money in out
8479=出入金失敗|transfer failed
8480=沒有出入金記錄|no transfer record
8481=無客戶簽約關系|no sign releationship
8482=預轉賬對應的出入金成功且被沖正|pre trans success and then reversal
8483=預轉賬對應的出入金成功|pre trans success
8484=日期格式錯誤|invalid date format
8485=報盤通訊錯誤|bfmt offer communication error
8486=沒預先出金不需釋放|no need release frozen money
8487=期貨出金沖正成功但未收到報盤出金通訊應答無需釋放|reversal success but no need release frozen money
8488=自動沖正超時，因未收到報盤通訊應答，默認恢復飛馬資金|Timeout for money reversal with no comm rsp!
8489=當日存在轉賬，不允許銷戶|no allow cancle account
8490=無需驗證客戶類別|no need check custom type
8491=資金為零或空|
8492=資金密碼校驗錯誤次數超限|verify fund pwd exceed limit
8493=該筆出金觸及可提比例|extract rate is touched!
8494=出金金額大於可用資金|money out is greater than avialiable!
8495=沒獲取到系統狀態|no system status!
8496=只可平倉盤中禁止出金|no allow money out while trading!
8497=禁用該銀行銀期功能|no allow transfer!
8598=簽約關系不存在，不允許此交易|the contractual relationship does not exist and this transaction is not allowed!
8599=夜盤時間只允許入金，不允許出金|no allow money out during night plate!
8600=非銀期轉賬時間|no transfer trading time!
8601=沒有設置節假日日歷|no calendar list!
8602=非交易日|no trading day!
8603=找不到銀行給經紀公司的編碼|no bank for broker id!
8604=找不到銀行返回碼信息|no bank error msg!
8605=轉賬金額非法|invalid trade amout!
8606=幣種錯誤|invalid currency type!
8607="飛馬入金失敗,銀行入金成功,飛馬返回碼:"|femas in failed by future!
8608="等待飛馬入金超時,銀行入金成功"|time out for the rsp by future in from femas!
8609=資金賬戶已和該銀行其他銀行賬戶簽約|the account allready sign up with the other bankaccount!
8610=出金超凈出金總額|out of range of net out limit!
8611=找不到該投資者號對應的資金賬戶|can not find account by investorid!
8612=投資者身份證過期|the id card is expired!
8613="銀行出金失敗,飛馬釋放失敗，返回碼:"|femas release failed!
8614="銀行出金失敗,飛馬釋放超時"|femas release timeout!
8615=銀行出入金櫃臺處理超時|trans from bank timeout by femas!
8616="飛馬恢復資金失敗,銀行出金沖正成功,飛馬返回碼:"|femas REVERSAL failed by future!
8617="等待飛馬恢復資金超時,銀行出金沖正成功"|time out for the rsp by future REVERSAL from femas!
8618=客戶端不支持該業務(機構開戶等)|signing a contract by institution is not supported on client side
8619=交易中心未啟用|trading center is not work!
8620=交易中心未找到|trading center is not found!
8621=投資者在該櫃臺沒有轉賬權限|no transfer righs with investor
8622=轉賬超時，沖正結果為:|transfer failed with the reversal result
8623=確認預出金成功(交易已預出金，此處不再處理)|pre money out success. This message will not be processed.
8624=組銀行報文失敗|make bank pack error.
8625=並行主席處理失敗|send pack(moneyout) to parallel counter and return with errors.
8626=查詢銀行代碼信息失敗|query contract bank fail.
8450=撤銷強平單需由管理員使用|Action Force Close Only Used By Administrator
8451=查詢會員資金失敗|Query Participant Account Failed
8500=委托類型字段錯誤|Invalid OrderType
8501=對沖標誌字段錯誤|Invalid DeliveryFlag
8502=該交易所不支持行權指令|Not support exec order
8503=沒有交易合約的權限|No Trading Instrument Right
8504=查詢信用額度失敗|Query Credit Limit Failed
10000=無效的期權組合合約|Invalid Option Comb Instrument
10001=找不到客戶費率模板|Can not find client fee template
10002=找不到客戶保證金率模板|Can not find client margin template
10003=找不到組合的單腿合約|Can not find leg Instrument
10004=期權執行時客戶持倉不足|No Enough ClientPosition to Exec
10005=市場已收盤|Market Closed
10006=用戶投資者字段錯誤|Invalid UserInvestor field
10007=密碼過於簡單|Password Too Simple
10008=用戶字段錯誤|Invalid User field
10009=密碼包含投資者ID|Password contain investorid
10010=密碼包含身份證號|Password contain careNo
10011=此報單可能會自成交|Order may self closing
10012=超過合約單筆下單限制|Exceed the instrument order volume limit per time
10013=超過合約買持倉限制|Exceed the instrument buy position limit
10014=超過合約賣持倉限制|Exceed the instrument sell position limit
10015=超過合約雙向持倉限制|Exceed the instrument both position limit
10016=下單速度超過最小間隔|Exceed the order mini interval limit
10017=保證金/總權益超限|Exceed the margin used rate limit
10018=不能撤期轉現訂單|Can not withdraw efp order
10019=本地報單編號字段錯誤|Invalid OrderlocalID
10020=序列號字段錯誤|Invalid SequenceNo
10021=現貨名稱字段錯誤|Invalid Spotname
10022=現貨代碼字段錯誤|Invalid Spotcode
10023=成交日期字段錯誤|Invalid Tradingday
10024=成交凈價字段錯誤|Invalid Price
10025=成交總額字段錯誤|Invalid Trueover
10026=成交單號字段錯誤|Invalid TradeID
10027=風險值字段錯誤|Invalid RiskValue
10028=現貨信息是否有效標誌字段錯誤|Invalid ValidFlag
10035=組合委托不支持市價|Market Order Not Combination
10036=未開啟的服務|Business Not Enabled
10040=非法的AppID或者RelayID|Invalid DS AppID or RealyID
10041=穿透監管用戶認證失敗|DS User Certificate Failed
10042=AppID不活躍|DS AppID Not Active
10043=AppID或者授權碼錯誤|AppID or Authcode error
15000=交易成功|
16001=銀行密碼錯|
16002=銀行賬戶余額不足|
16003=累計金額超限|
16004=重復的交易批次號及證券交易流水號|
16005=被沖正流水不存在|
16006=該流水已沖正|
16007=沖正流水信息不符|
16008="銀行賬戶余額不足,不允許沖正"|
16009=清算賬戶余額不足 對公賬戶|
16010=清算賬戶狀態錯|
16011=被查詢流水不存在|
16012=證件不符|
16013=銀行賬戶狀態錯|
16014=銀行賬戶不存在|
16015=銀行賬戶已經銷戶|
16016=證券賬戶與銀行賬戶未建立對應關系|
16017=證券賬戶與銀行賬戶已建立對應關系|
16018=銀行賬戶轉賬功能未開啟|
16019=銀行賬戶轉賬功能已關閉|
16020=銀行產生流水號錯|
16021=通存通兌功能已關閉|
16022=證券賬戶不存在|
16024=交易金額超限|
16025=被查詢流水已成功|
16026=被查詢流水已失敗|
16028=被查詢流水狀態未知|
16032=日期不符|
16033=無此交易|
16034=此交易未開通|
16037=轉賬功能未開通|
16038=無效銀行號|
16039=證券公司尚未簽退|
16040=銀行主機拒絕簽到|
16041=銀行主機系統錯誤|
16043=通信校驗錯誤|
16044=通信消息體格式錯誤|
16052=管理賬戶余額不足|
17001=資金密碼校驗錯誤|
17002=資金賬戶余額不足|
17004=銀行流水號重復|
17005=被沖正流水不存在（沖正交易）|
17006=原流水已沖正（沖正交易）|
17007=與原流水信息不符（沖正交易）|
17008="資金賬戶余額不足,不允許沖正"|
17009=身份證號碼不符|
17010=資金賬戶狀態不正常|
17011=資金賬戶不存在|
17012=資金賬戶已經銷戶|
17013=資金賬戶與銀行方賬戶未建立對應關系|
17014=資金賬戶與銀行方賬戶已建立對應關系|
17015=該客戶轉賬功能未開啟|
17016=客戶被限制轉賬|
17018=預約流水不存在|
17019=預約流水信息不符|
17020=預約流水已取款|
17021=預約流水未生效|
17024=單筆金額超限|
17025=被查詢流水已成功|
17026=被查詢流水已失敗|
17027=被查詢流水不存在|
17028=被查詢流水狀態未知|
17031=營業部編碼錯|
17032=系統尚未換日|
17034=不允許該操作方式|
17038="當天有業務發生,不允許銷戶"|
17041=服務器系統錯誤|
17042=MAC 校驗錯|
17047=賬戶姓名不符|
18001=銀行賬號校驗錯|
18002=股東賬號校驗錯|
18003=對應關系狀態錯|
18006=新工作密鑰生成失敗|
18007=轉賬時間已過|
18011=幣種錯|
18013=已開通其他銀行|
18052=操作櫃員錯|
18053=銀行暫停交易|
18054=銀行代碼錯|
18091=銀證系統錯誤|
18092=取銀行明細失敗|
18093=取證券明細失敗|
20001=該客戶不存在|
20002=該銀行賬號已開通存管功能|
20003=該客戶已凍結|
20004=該客戶未凍結|
20005=該客戶已掛失|
20006=該客戶未掛失|
20007=該客戶已銷戶|
20008=該客戶狀態不正常|
20010=證件類型不符|
20011=證件號碼不符|
20012=客戶無此權限|
20013=無此資金賬戶|
20014=銀行賬戶狀態錯|
20015=客戶類型不能為空|
20016=該賬戶不屬於同壹個客戶|
20017=無此客戶信息|
20018=客戶已開戶|
20019=銀行賬戶已存在|
20020=開通存管客戶失敗|
20021=機構無此交易權限|
20026=客戶已移植|
20028=客戶開戶失敗|
20029=創建轉賬關系失敗|
20030=代理人開戶失敗|
20031=客戶無轉賬關系|
20032=客戶為指定存管|
20201=銀證轉賬對應關系已存在|
20202=未建立銀證轉賬對應關系|
20203=證券端客戶號錯|
20205=有轉賬流水|
20206=生成新密鑰錯誤|
20208=發送明細文件錯|
20214=銀證轉賬證券公司已註銷|
20215=銀證轉賬證券公司已簽退|
20216=銀證轉賬證券公司狀態非正常|
20217=銀證轉賬客戶狀態非正常|
20218=銀證轉賬客戶已凍結|
20219=銀證轉賬客戶已掛失|
